title,pubDate,guid,link,description
The Papers: 'Roman empire falls' and 'hotline to host refugees',"Fri, 11 Mar 2022 05:29:57 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60701820,https://www.bbc.co.uk/news/blogs-the-papers-60701820?at_medium=RSS&at_campaign=KARANGA,"Claims the Chelsea owner has ""blood on his hands"" and a plea to host refugees feature in the papers."
Quiz of the week: Who helped Dolly write a novel?,"Thu, 10 Mar 2022 17:35:44 GMT",https://www.bbc.co.uk/news/world-60685025,https://www.bbc.co.uk/news/world-60685025?at_medium=RSS&at_campaign=KARANGA,How closely have you been paying attention to what's been going on during the past seven days?
'I just don't think we're being listened to',"Fri, 11 Mar 2022 04:26:46 GMT",https://www.bbc.co.uk/news/world-us-canada-60698394,https://www.bbc.co.uk/news/world-us-canada-60698394?at_medium=RSS&at_campaign=KARANGA,The BBC spoke to four black women about their experiences with pregnancy loss in the US healthcare system.
Russia-Ukraine war: Foreign fighters go to join defence,"Fri, 11 Mar 2022 00:02:52 GMT",https://www.bbc.co.uk/news/world-europe-60696603,https://www.bbc.co.uk/news/world-europe-60696603?at_medium=RSS&at_campaign=KARANGA,"Nearly 20,000 international volunteers have signed up to fight alongside Ukrainian forces, officials say."
Ukraine war: Indian students on the trauma of escaping,"Thu, 10 Mar 2022 14:23:59 GMT",https://www.bbc.co.uk/news/world-asia-60689267,https://www.bbc.co.uk/news/world-asia-60689267?at_medium=RSS&at_campaign=KARANGA,The BBC follows some of the thousands of students who've been evacuated from the war.
UK boy donates teddy bear to Ukrainian child,"Thu, 10 Mar 2022 16:50:38 GMT",https://www.bbc.co.uk/news/uk-england-tees-60697946,https://www.bbc.co.uk/news/uk-england-tees-60697946?at_medium=RSS&at_campaign=KARANGA,Will decided to help after finding out from his mum a war was taking place.
Classic Queen cover art for A Day at the Races sells for £28k,"Thu, 10 Mar 2022 17:17:35 GMT",https://www.bbc.co.uk/news/uk-england-wiltshire-60693220,https://www.bbc.co.uk/news/uk-england-wiltshire-60693220?at_medium=RSS&at_campaign=KARANGA,"The piece was by David Costa, an artist who worked with Elton John, The Beatles and Queen."
Gracie Spinks: Receipt could have traced killer - family,"Fri, 11 Mar 2022 02:07:24 GMT",https://www.bbc.co.uk/news/uk-england-derbyshire-60525625,https://www.bbc.co.uk/news/uk-england-derbyshire-60525625?at_medium=RSS&at_campaign=KARANGA,A bag of weapons found before she died has been linked to killer Michael Sellers.
Climate change: Can the Russian energy crisis help to curb global heating?,"Fri, 11 Mar 2022 01:59:25 GMT",https://www.bbc.co.uk/news/uk-politics-60683929,https://www.bbc.co.uk/news/uk-politics-60683929?at_medium=RSS&at_campaign=KARANGA,"An energy strategy is due - but can it get the UK off Russian gas, cut bills and help the environment?"
Does your boss really care what you think?,"Fri, 11 Mar 2022 00:09:13 GMT",https://www.bbc.co.uk/news/business-60381024,https://www.bbc.co.uk/news/business-60381024?at_medium=RSS&at_campaign=KARANGA,The real reasons companies are making an extra effort to find out if their staff are happy or not.
Timbuktu manuscripts: Mali's ancient documents captured online,"Thu, 10 Mar 2022 17:10:58 GMT",https://www.bbc.co.uk/news/world-africa-60689699,https://www.bbc.co.uk/news/world-africa-60689699?at_medium=RSS&at_campaign=KARANGA,"The thousands of manuscripts contain centuries of African writing on maths, medicine and more."
Ukraine war: How reliant is the world on Russia for oil and gas?,"Thu, 10 Mar 2022 11:22:57 GMT",https://www.bbc.co.uk/news/58888451,https://www.bbc.co.uk/news/58888451?at_medium=RSS&at_campaign=KARANGA,Russia has threatened to cut off gas supplies if countries ban its oil.
"'As long as we have enough shirts and a bus, we'll be there' - Chelsea bosses vow to carry on","Thu, 10 Mar 2022 23:37:13 GMT",https://www.bbc.co.uk/sport/football/60700515,https://www.bbc.co.uk/sport/football/60700515?at_medium=RSS&at_campaign=KARANGA,Thomas Tuchel says Chelsea face an uncertain future but vows the team will keep competing on the pitch.
England toil as Bonner hits century to put West Indies on top,"Thu, 10 Mar 2022 22:32:58 GMT",https://www.bbc.co.uk/sport/cricket/60696847,https://www.bbc.co.uk/sport/cricket/60696847?at_medium=RSS&at_campaign=KARANGA,An uninspiring England toil as Nkrumah Bonner's determined century puts West Indies on top after day three of the first Test in Antigua.
Commanding Rangers take big step towards Europa League quarter-finals,"Thu, 10 Mar 2022 22:24:57 GMT",https://www.bbc.co.uk/sport/football/60594728,https://www.bbc.co.uk/sport/football/60594728?at_medium=RSS&at_campaign=KARANGA,Rangers take a significant step towards the Europa League quarter-finals with a pulsating statement win over Red Star Belgrade at a raucous Ibrox.
Formula 1 testing: Red Bull unhappy with Mercedes upgrade in Bahrain,"Thu, 10 Mar 2022 16:18:16 GMT",https://www.bbc.co.uk/sport/formula1/60697803,https://www.bbc.co.uk/sport/formula1/60697803?at_medium=RSS&at_campaign=KARANGA,Mercedes are at the centre of a row over the legality of their car after introducing a radical new design at the second pre-season test.
Chelsea: Thomas Tuchel has faith in those in charge of club's future,"Thu, 10 Mar 2022 23:32:35 GMT",https://www.bbc.co.uk/sport/av/football/60697159,https://www.bbc.co.uk/sport/av/football/60697159?at_medium=RSS&at_campaign=KARANGA,Chelsea manager Thomas Tuchel is hopeful a solution will be found to keep the club going after sanctions were imposed on owner Roman Abramovich.
Chelsea thrash West Ham at end of 'difficult day' for club,"Thu, 10 Mar 2022 22:36:45 GMT",https://www.bbc.co.uk/sport/football/60597800,https://www.bbc.co.uk/sport/football/60597800?at_medium=RSS&at_campaign=KARANGA,Chelsea bounce back from their Continental Cup final defeat and thrash West Ham to go within five points of league leaders Arsenal with two games in hand.
Ukraine war: Kyiv prepares for Russian attack,"Fri, 11 Mar 2022 20:04:59 GMT",https://www.bbc.co.uk/news/world-europe-60714515,https://www.bbc.co.uk/news/world-europe-60714515?at_medium=RSS&at_campaign=KARANGA,"As Russian forces continue their slow advance, Kyiv's residents fear the worst for their city."
